tweet_id,favorite_count,retweet_count,created_at,Character
1071634457176825857,0,0,Sun Dec 09 05:15:39 +0000 2018,Ross
1071634126032257024,9,1,Sun Dec 09 05:14:20 +0000 2018,Ross
1071631584753635328,0,0,Sun Dec 09 05:04:14 +0000 2018,Ross
1071631299591499776,0,0,Sun Dec 09 05:03:06 +0000 2018,Ross
1071614703728771072,9,0,Sun Dec 09 03:57:09 +0000 2018,Ross
1071613651856056320,0,0,Sun Dec 09 03:52:58 +0000 2018,Ross
1071609319651717120,3,1,Sun Dec 09 03:35:46 +0000 2018,Ross
1071607386308136961,10,0,Sun Dec 09 03:28:05 +0000 2018,Ross
1071597404925898752,5,0,Sun Dec 09 02:48:25 +0000 2018,Ross
1071596000517742592,6,2,Sun Dec 09 02:42:50 +0000 2018,Ross
1071592978509111296,1,0,Sun Dec 09 02:30:49 +0000 2018,Ross
1071587266076860417,5,0,Sun Dec 09 02:08:08 +0000 2018,Ross
1071585814725967873,1,0,Sun Dec 09 02:02:21 +0000 2018,Ross
1071563018838966273,0,0,Sun Dec 09 00:31:47 +0000 2018,Ross
1071547355718189056,0,0,Sat Dec 08 23:29:32 +0000 2018,Ross
1071537900360097792,0,0,Sat Dec 08 22:51:58 +0000 2018,Ross
1071536454369710080,0,0,Sat Dec 08 22:46:13 +0000 2018,Ross
1071535847974014977,0,0,Sat Dec 08 22:43:48 +0000 2018,Ross
1071530218291109888,0,0,Sat Dec 08 22:21:26 +0000 2018,Ross
1071528104072495104,1,0,Sat Dec 08 22:13:02 +0000 2018,Ross
1071517531544809472,7,1,Sat Dec 08 21:31:02 +0000 2018,Ross
1071515543566512129,1,0,Sat Dec 08 21:23:08 +0000 2018,Ross
1071511452543057920,0,0,Sat Dec 08 21:06:52 +0000 2018,Ross
1071510178577702914,0,0,Sat Dec 08 21:01:48 +0000 2018,Ross
1071497222758383616,0,0,Sat Dec 08 20:10:20 +0000 2018,Ross
1071490731406229504,0,0,Sat Dec 08 19:44:32 +0000 2018,Ross
1071490499209498624,0,0,Sat Dec 08 19:43:36 +0000 2018,Ross
1071450213821362176,0,0,Sat Dec 08 17:03:32 +0000 2018,Ross
1071428058689617920,1,0,Sat Dec 08 15:35:30 +0000 2018,Ross
1071421251502120960,11,1,Sat Dec 08 15:08:27 +0000 2018,Ross
1071408366625439746,0,0,Sat Dec 08 14:17:15 +0000 2018,Ross
1071404226398576640,0,0,Sat Dec 08 14:00:47 +0000 2018,Ross
1071338902672224257,5,0,Sat Dec 08 09:41:13 +0000 2018,Ross
1071296056170872833,0,0,Sat Dec 08 06:50:58 +0000 2018,Ross
1071286540721106944,4,0,Sat Dec 08 06:13:09 +0000 2018,Ross
1071278028427276288,1,0,Sat Dec 08 05:39:20 +0000 2018,Ross
1071273758906707969,4,0,Sat Dec 08 05:22:22 +0000 2018,Ross
1071266246652555264,2,0,Sat Dec 08 04:52:31 +0000 2018,Ross
1071262839468425217,1,0,Sat Dec 08 04:38:58 +0000 2018,Ross
1071261966927319045,1,0,Sat Dec 08 04:35:30 +0000 2018,Ross
1071258881454694405,1,0,Sat Dec 08 04:23:15 +0000 2018,Ross
1071257479705714688,5,0,Sat Dec 08 04:17:40 +0000 2018,Ross
1071254402974040066,1,0,Sat Dec 08 04:05:27 +0000 2018,Ross
1071249840645042176,3,0,Sat Dec 08 03:47:19 +0000 2018,Ross
1071245175152873477,97,6,Sat Dec 08 03:28:47 +0000 2018,Ross
1071244019576070144,0,0,Sat Dec 08 03:24:11 +0000 2018,Ross
1071230888774696960,1,0,Sat Dec 08 02:32:01 +0000 2018,Ross
1071227704488407046,1,1,Sat Dec 08 02:19:21 +0000 2018,Ross
1071220176266412032,1,0,Sat Dec 08 01:49:26 +0000 2018,Ross
1071218342210478080,8,1,Sat Dec 08 01:42:09 +0000 2018,Ross
1071217322872967168,1,0,Sat Dec 08 01:38:06 +0000 2018,Ross
1071209453037350912,0,0,Sat Dec 08 01:06:50 +0000 2018,Ross
1071205507858395140,1,0,Sat Dec 08 00:51:09 +0000 2018,Ross
1071201486313529345,0,0,Sat Dec 08 00:35:10 +0000 2018,Ross
1071199985364946944,1,0,Sat Dec 08 00:29:13 +0000 2018,Ross
1071197811344109568,6,0,Sat Dec 08 00:20:34 +0000 2018,Ross
1071190952973357057,2,0,Fri Dec 07 23:53:19 +0000 2018,Ross
1071187384904155136,0,0,Fri Dec 07 23:39:08 +0000 2018,Ross
1071185207259209728,4,0,Fri Dec 07 23:30:29 +0000 2018,Ross
1071180038278733825,1,0,Fri Dec 07 23:09:57 +0000 2018,Ross
1071176268975169537,2,0,Fri Dec 07 22:54:58 +0000 2018,Ross
1071159181359509504,0,0,Fri Dec 07 21:47:04 +0000 2018,Ross
1071155286893846528,5,0,Fri Dec 07 21:31:36 +0000 2018,Ross
1071148456033452032,0,0,Fri Dec 07 21:04:27 +0000 2018,Ross
1071142258513076224,1,1,Fri Dec 07 20:39:49 +0000 2018,Ross
1071138484050632706,0,0,Fri Dec 07 20:24:50 +0000 2018,Ross
1071120701199765504,1,0,Fri Dec 07 19:14:10 +0000 2018,Ross
1071119106248712192,134,3,Fri Dec 07 19:07:50 +0000 2018,Ross
1071117842173575168,0,0,Fri Dec 07 19:02:48 +0000 2018,Ross
1071115919420780544,4,0,Fri Dec 07 18:55:10 +0000 2018,Ross
1071113765482057728,70,0,Fri Dec 07 18:46:36 +0000 2018,Ross
1071110968053125120,0,0,Fri Dec 07 18:35:29 +0000 2018,Ross
1071105568860004353,0,0,Fri Dec 07 18:14:02 +0000 2018,Ross
1071103873958465541,5,4,Fri Dec 07 18:07:18 +0000 2018,Ross
1071099020574109697,0,0,Fri Dec 07 17:48:01 +0000 2018,Ross
1071097654850056193,22,5,Fri Dec 07 17:42:35 +0000 2018,Ross
1071094301139050499,2,0,Fri Dec 07 17:29:16 +0000 2018,Ross
1071091424802816000,4,0,Fri Dec 07 17:17:50 +0000 2018,Ross
1071089388120100880,1,0,Fri Dec 07 17:09:44 +0000 2018,Ross
1071081315833864192,0,0,Fri Dec 07 16:37:40 +0000 2018,Ross
1071071268055736321,0,1,Fri Dec 07 15:57:44 +0000 2018,Ross
1071068473487446016,2,1,Fri Dec 07 15:46:38 +0000 2018,Ross
1071058517010903046,1,0,Fri Dec 07 15:07:04 +0000 2018,Ross
1071041335464001538,1,0,Fri Dec 07 13:58:48 +0000 2018,Ross
1071039204543660033,2,0,Fri Dec 07 13:50:19 +0000 2018,Ross
1071026891019218946,1,0,Fri Dec 07 13:01:24 +0000 2018,Ross
1071019354936864770,0,0,Fri Dec 07 12:31:27 +0000 2018,Ross
1071011110004973571,1,0,Fri Dec 07 11:58:41 +0000 2018,Ross
1071007332149194752,0,1,Fri Dec 07 11:43:40 +0000 2018,Ross
1071006375420014592,1,0,Fri Dec 07 11:39:52 +0000 2018,Ross
1071005908157657090,1,0,Fri Dec 07 11:38:01 +0000 2018,Ross
1071005621410037761,2,0,Fri Dec 07 11:36:53 +0000 2018,Ross
1070974101966077953,1,0,Fri Dec 07 09:31:38 +0000 2018,Ross
1070952333771558912,6,0,Fri Dec 07 08:05:08 +0000 2018,Ross
1070918768723865600,3,0,Fri Dec 07 05:51:45 +0000 2018,Ross
1070905702246309888,0,0,Fri Dec 07 04:59:50 +0000 2018,Ross
1070902565775249408,1,0,Fri Dec 07 04:47:22 +0000 2018,Ross
1070890426364768257,11,3,Fri Dec 07 03:59:08 +0000 2018,Ross
1070883013003743232,4,1,Fri Dec 07 03:29:41 +0000 2018,Ross
1070882547096113152,5,1,Fri Dec 07 03:27:49 +0000 2018,Ross
1070874683686481926,0,0,Fri Dec 07 02:56:35 +0000 2018,Ross
1070872184720113665,1,0,Fri Dec 07 02:46:39 +0000 2018,Ross
1070868344830599168,0,0,Fri Dec 07 02:31:23 +0000 2018,Ross
1070867985319882753,7,0,Fri Dec 07 02:29:58 +0000 2018,Ross
1070867698366713857,2,0,Fri Dec 07 02:28:49 +0000 2018,Ross
1070851833785131008,3,0,Fri Dec 07 01:25:47 +0000 2018,Ross
1070846298348236800,8,1,Fri Dec 07 01:03:47 +0000 2018,Ross
1070843575716311040,0,0,Fri Dec 07 00:52:58 +0000 2018,Ross
1070825211384262661,2,1,Thu Dec 06 23:40:00 +0000 2018,Ross
1070820269189672961,0,0,Thu Dec 06 23:20:21 +0000 2018,Ross
1070814883053256704,0,0,Thu Dec 06 22:58:57 +0000 2018,Ross
1070812063000338434,5,0,Thu Dec 06 22:47:45 +0000 2018,Ross
1070808217880576001,5,0,Thu Dec 06 22:32:28 +0000 2018,Ross
